customerID,DeviceProtection,OnlineBackup,OnlineSecurity,InternetService,MultipleLines,PhoneService,TechSupport,StreamingMovies,StreamingTV,datetime
4929-XIHVW,Yes,No,No,Fiber optic,No,Yes,No,Yes,Yes,2020-11-16 20:43:29.258733312
6827-IEAUQ,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,2020-10-23 16:14:35.205907412
7310-EGVHZ,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-01-08 09:20:29.991479692
3413-BMNZE,No,No,No,DSL,No,Yes,No,No,No,2020-11-03 21:18:27.299062764
6234-RAAPL,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,2021-02-12 03:56:23.243396760
6047-YHPVI,No,No,No,Fiber optic,No,Yes,No,No,No,2021-01-25 12:24:44.578244816
6572-ADKRS,Yes,No,No,Fiber optic,No,Yes,No,No,No,2021-02-15 19:08:11.792104516
5380-WJKOV,Yes,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,2021-01-10 11:10:06.305026980
8168-UQWWF,Yes,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,2021-12-23 16:41:34.745810848
8865-TNMNX,No,Yes,No,DSL,No,Yes,No,No,No,2020-10-08 12:30:28.117012212
9489-DEDVP,No,Yes,Yes,DSL,Yes,Yes,No,No,Yes,2021-12-26 16:56:30.400454416
9867-JCZSP,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-11-13 22:58:02.419767112
4671-VJLCL,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,2021-03-27 10:49:39.380857712
4080-IIARD,No,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,2021-08-03 21:31:32.530531096
3714-NTNFO,No,No,No,Fiber optic,Yes,Yes,No,Yes,No,2021-11-10 02:19:52.161317808
5948-UJZLF,No,Yes,No,DSL,No,Yes,No,No,No,2021-07-02 17:12:39.670548136
7760-OYPDY,No,No,No,Fiber optic,No,Yes,No,No,Yes,2020-02-01 23:19:55.228628230
7639-LIAYI,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,2020-07-13 12:46:00.579380858
2954-PIBKO,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,2020-12-30 18:33:38.290258448
8012-SOUDQ,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,2021-06-28 01:06:02.965066744
9420-LOJKX,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,2021-09-06 02:45:13.547287704
6575-SUVOI,No,No,Yes,DSL,Yes,Yes,Yes,No,Yes,2021-03-28 19:12:53.984663448
7495-OOKFY,No,Yes,No,Fiber optic,Yes,Yes,No,No,No,2020-10-02 16:59:34.439079804
4667-QONEA,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,No,2020-10-06 13:10:20.619142288
1658-BYGOY,No,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,2021-07-10 17:02:38.477705192
8769-KKTPH,No,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,2021-07-30 02:55:27.009372336
5067-XJQFU,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,2021-12-25 13:32:13.428003408
3957-SQXML,No internet service,No internet service,No internet service,No,Yes,Yes,No internet service,No internet service,No internet service,2021-01-16 14:09:26.429991480
5954-BDFSG,Yes,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,2020-04-11 07:32:44.101107640
0434-CSFON,Yes,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,2020-11-11 11:10:30.843510364
1215-FIGMP,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,2020-07-15 09:36:39.261573416
0526-SXDJP,Yes,Yes,Yes,DSL,No phone service,No,No,No,No,2021-12-21 19:50:56.063618288
0557-ASKVU,Yes,No,No,DSL,No,Yes,Yes,No,No,2021-04-17 20:02:35.410394776
5698-BQJOH,No,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,2020-07-06 03:52:54.666287986
5122-CYFXA,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,2021-09-22 02:25:11.161601816
8627-ZYGSZ,No,Yes,No,Fiber optic,Yes,Yes,No,No,No,2020-07-13 05:17:34.132348764
3410-YOQBQ,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,2021-12-25 11:02:44.612326040
3170-NMYVV,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-05-30 04:57:56.285146264
7410-OIEDU,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,2021-07-01 13:48:22.698097128
2273-QCKXA,No,No,No,DSL,No,Yes,Yes,No,No,2020-03-08 03:53:43.743254757
0731-EBJQB,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-05-03 20:09:57.103095712
1891-QRQSA,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,2020-12-25 04:01:42.243680772
8028-PNXHQ,No internet service,No internet service,No internet service,No,Yes,Yes,No internet service,No internet service,No internet service,2021-08-04 02:30:30.161885824
5630-AHZIL,No,No,Yes,DSL,No,Yes,Yes,Yes,No,2020-08-24 13:45:30.928713432
2673-CXQEU,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,2021-02-02 14:44:12.201079236
6416-JNVRK,No,No,No,DSL,No,Yes,No,Yes,No,2020-07-14 11:11:19.920477136
5590-ZSKRV,No,Yes,Yes,DSL,No,Yes,No,No,No,2020-10-17 00:47:51.002556092
0191-ZHSKZ,No,Yes,Yes,DSL,No,Yes,No,Yes,Yes,2021-02-27 07:40:30.332291960
3887-PBQAO,No internet service,No internet service,No internet service,No,Yes,Yes,No internet service,No internet service,No internet service,2020-11-25 18:58:47.406986652
5919-TMRGD,No,No,No,Fiber optic,No,Yes,No,No,Yes,2021-05-21 11:14:11.689860832
8108-UXRQN,No,No,Yes,DSL,No phone service,No,No,Yes,Yes,2020-02-03 22:40:02.726498154
9191-MYQKX,Yes,No,No,Fiber optic,No,Yes,No,No,No,2021-09-10 16:22:21.437091736
9919-YLNNG,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,2020-04-04 03:38:35.819369497
0318-ZOPWS,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-12-16 13:14:50.542459528
4445-ZJNMU,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,2021-05-02 13:48:47.236580512
4808-YNLEU,No,No,Yes,DSL,No,Yes,No,No,Yes,2020-06-17 13:55:56.660039760
1862-QRWPE,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-03-30 21:29:54.376597557
2796-NNUFI,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-05-30 11:58:58.653791536
3016-KSVCP,No,No,No,DSL,No phone service,No,No,No,Yes,2020-03-20 17:20:50.440215848
4767-HZZHQ,Yes,Yes,No,Fiber optic,No,Yes,No,No,No,2021-10-04 00:55:24.964498720
2424-WVHPL,No,No,No,Fiber optic,No,Yes,Yes,No,No,2020-02-18 13:56:45.737006532
7233-PAHHL,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,2021-07-03 10:39:01.380289688
6067-NGCEU,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,2021-04-29 06:05:25.134904856
9848-JQJTX,Yes,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,2020-03-06 07:03:05.061062198
8637-XJIVR,No,No,Yes,Fiber optic,Yes,Yes,No,No,No,2021-07-08 05:15:06.901448448
9803-FTJCG,No,Yes,Yes,DSL,Yes,Yes,Yes,No,No,2021-08-14 11:38:31.729622264
0278-YXOOG,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-09-26 11:03:21.420051120
3212-KXOCR,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-02-17 08:30:24.027264980
4598-XLKNJ,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,2021-09-11 02:20:16.699801192
6380-ARCEH,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-06-10 19:32:19.562624256
3679-XASPY,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-02-12 05:58:27.980687304
7123-WQUHX,Yes,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,2020-09-27 04:57:07.208179492
5386-THSLQ,Yes,Yes,No,DSL,No phone service,No,No,No,Yes,2020-05-19 07:22:30.639023004
3192-NQECA,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,2021-05-31 22:51:42.073274640
6180-YBIQI,No,No,No,DSL,No phone service,No,No,No,No,2021-03-05 10:39:50.457256456
6728-DKUCO,No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,2020-04-27 09:42:10.531099120
9750-BOOHV,No,No,Yes,DSL,No phone service,No,No,No,No,2020-09-25 05:36:59.710309572
8597-CWYHH,No,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,2021-08-06 06:49:35.291110480
2848-YXSMW,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-11-22 03:19:34.779892072
0486-HECZI,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,2020-05-04 18:35:16.444191990
4549-ZDQYY,Yes,No,Yes,DSL,No,Yes,Yes,No,No,2020-05-01 15:50:51.973871058
5712-AHQNN,Yes,Yes,No,Fiber optic,No,Yes,No,No,Yes,2020-11-25 06:31:23.328599828
4846-WHAFZ,No,No,No,Fiber optic,Yes,Yes,No,No,No,2021-07-17 18:27:17.943765976
5256-SKJGO,No,Yes,No,DSL,No phone service,No,Yes,Yes,Yes,2021-03-12 17:03:27.554671968
3071-VBYPO,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,2020-03-24 06:03:10.173246237
9560-BBZXK,No,No,Yes,DSL,No phone service,No,No,No,No,2020-12-07 19:58:30.025560920
5299-RULOA,No,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,2020-10-06 23:08:15.881851744
8402-OOOHJ,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-12-18 00:07:33.961942628
9445-ZUEQE,No,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,2020-09-02 07:01:51.445612040
1091-SOZGA,Yes,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,2021-07-12 08:54:19.528543024
2928-HLDBA,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-07-01 01:48:22.698097130
0404-SWRVG,No,No,No,Fiber optic,Yes,Yes,No,No,No,2021-02-02 19:43:09.832433968
6497-TILVL,No,No,Yes,DSL,No,Yes,No,No,No,2020-08-26 13:05:38.426583356
7219-TLZHO,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-01-17 07:08:24.061346208
4622-YNKIJ,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,2021-12-28 01:19:45.004260152
4412-YLTKF,Yes,No,No,Fiber optic,Yes,Yes,No,No,No,2021-05-23 08:04:50.372053392
6734-PSBAW,No internet service,No internet service,No internet service,No,Yes,Yes,No internet service,No internet service,No internet service,2021-11-14 18:26:28.866799200
3930-ZGWVE,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-01-12 05:31:16.171542176
2639-UGMAZ,No,Yes,Yes,DSL,No phone service,No,No,Yes,Yes,2020-11-29 10:10:35.955694404
2876-GZYZC,No,No,No,Fiber optic,Yes,Yes,No,Yes,No,2020-11-09 09:20:54.529963076
6207-WIOLX,Yes,Yes,Yes,DSL,No phone service,No,No,Yes,Yes,2020-08-19 06:42:01.329167848
8587-XYZSF,No,No,No,DSL,No,Yes,Yes,No,No,2021-02-15 11:39:45.345072420
3091-FYHKI,No,No,No,DSL,No phone service,No,No,Yes,No,2021-02-09 01:11:58.773075828
2372-HWUHI,No,No,No,DSL,No,Yes,No,No,No,2020-05-28 10:36:46.418631070
7799-LGRDP,No internet service,No internet service,No internet service,No,Yes,Yes,No internet service,No internet service,No internet service,2020-09-22 20:18:56.949730188
7850-VWJUU,No,No,Yes,Fiber optic,No,Yes,No,No,No,2020-05-24 04:28:04.975859130
3774-VBNXY,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-02-18 23:54:40.999715989
6217-KDYWC,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-03-14 23:52:01.499573984
0390-DCFDQ,No,No,No,Fiber optic,No,Yes,No,No,No,2020-02-04 01:09:31.542175518
3146-MSEGF,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,2021-03-06 21:32:33.876739560
4080-OGPJL,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,2020-02-19 02:24:09.815393354
1095-WGNGG,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,2021-06-11 00:31:17.193978984
2636-SJDOU,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,2021-11-06 18:36:30.059642144
1131-QQZEB,No internet service,No internet service,No internet service,No,Yes,Yes,No internet service,No internet service,No internet service,2020-05-08 04:48:07.361545016
5716-EZXZN,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,2021-10-04 15:52:17.858562904
6837-BJYDQ,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-12-16 20:43:16.989491620
2135-RXIHG,No,No,No,DSL,No,Yes,No,No,No,2020-08-07 03:12:49.894916216
6440-DKQGE,Yes,Yes,No,DSL,No,Yes,No,No,Yes,2020-05-06 17:55:23.942061914
3466-BYAVD,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,2021-06-26 21:41:45.992615736
3780-YVMFA,No,No,No,DSL,No,Yes,Yes,Yes,Yes,2020-11-21 12:50:05.964214712
3874-EQOEP,No,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,2020-12-02 15:24:29.241692700
1679-JRFBR,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,2020-10-19 20:03:49.025844928
9073-ZZIAY,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,2020-05-08 19:45:00.255609202
3077-RSNTJ,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-08-21 03:05:15.932973584
6551-GNYDG,No,No,No,Fiber optic,No,Yes,No,Yes,No,2020-03-27 13:46:32.274921897
9167-APMXZ,No,No,No,Fiber optic,Yes,Yes,No,No,Yes,2020-10-12 08:41:14.297074692
2749-CTKAJ,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-03-14 13:54:06.236864528
6371-NZYEG,Yes,No,Yes,DSL,No,Yes,No,No,Yes,2020-12-07 05:01:37.131496732
7554-NEWDD,No internet service,No internet service,No internet service,No,Yes,Yes,No internet service,No internet service,No internet service,2021-08-09 22:01:23.839818232
8992-VONJD,No,Yes,Yes,DSL,No,Yes,No,No,No,2021-01-14 19:48:16.563476284
0867-MKZVY,No,No,Yes,Fiber optic,Yes,Yes,No,No,No,2020-10-18 21:38:29.684748648
4482-EWFMI,No,No,No,Fiber optic,No,Yes,No,No,No,2021-03-14 21:22:32.683896616
4648-YPBTM,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,2021-06-09 11:09:04.958818512
2907-ILJBN,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-12-24 23:02:44.612326044
6345-FZOQH,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-02-02 12:14:43.385401872
3376-BMGFE,No,No,No,Fiber optic,No,Yes,No,No,No,2021-11-25 18:31:23.328599824
5997-OPVFA,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,2021-05-28 05:10:24.708889520
3445-HXXGF,Yes,Yes,No,DSL,No phone service,No,No,Yes,No,2021-07-03 05:40:03.748934960
1159-WFSGR,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-10-11 07:46:26.140301048
7654-YWJUF,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,No,2020-01-02 18:21:09.866515194
1875-QIVME,Yes,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,2021-07-15 09:09:15.183186592
6727-IOTLZ,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,2020-11-21 00:22:41.885827888
0691-JVSYA,Yes,No,No,Fiber optic,No,Yes,No,Yes,Yes,2021-06-17 20:56:59.028685032
5918-VUKWP,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-02-18 21:25:12.184038625
1744-JHKYS,No internet service,No internet service,No internet service,No,Yes,Yes,No internet service,No internet service,No internet service,2021-04-02 06:20:33.058790112
2656-FMOKZ,No,No,No,Fiber optic,Yes,Yes,No,No,No,2021-10-21 18:56:32.445328032
2070-FNEXE,No,No,Yes,Fiber optic,No,Yes,No,No,No,2020-03-20 04:53:26.361829026
5947-SGKCL,Yes,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,2020-02-15 01:14:26.003976143
3712-PKXZA,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-01-29 08:35:30.758307296
6317-YPKDH,No,Yes,No,DSL,No phone service,No,No,No,No,2021-07-23 08:59:13.990343648
6582-OIVSP,No,No,No,DSL,No,Yes,No,No,No,2021-08-08 13:38:09.236012496
9367-WXLCH,No,No,No,Fiber optic,Yes,Yes,No,Yes,No,2021-11-15 16:51:48.207895480
5524-KHNJP,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,2021-07-04 21:31:44.799772792
1918-ZBFQJ,Yes,Yes,No,Fiber optic,No,Yes,No,No,No,2021-11-01 16:31:58.091451288
1024-GUALD,No,No,No,DSL,No phone service,No,No,No,No,2020-06-25 13:45:55.467196818
4827-USJHP,No,Yes,No,DSL,No,Yes,No,No,No,2021-06-02 09:44:25.492757736
8167-GJLRN,No,No,No,DSL,No phone service,No,Yes,No,No,2020-10-07 14:05:08.775915932
0956-SYCWG,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-02-26 11:44:39.806873048
8017-UVSZU,No,Yes,No,DSL,Yes,Yes,No,No,No,2021-03-14 06:25:39.789832432
7100-FQPRV,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,2021-02-13 14:49:06.662879864
2472-OVKUP,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,No,2020-09-05 04:47:18.284578244
2984-RGEYA,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-01-15 08:15:40.641863104
9680-NIAUV,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,2021-06-02 04:45:27.861403008
2146-EGVDT,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-07-31 16:45:03.322919624
2604-IJPDU,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,2020-05-06 07:57:28.679352456
9178-JHUVJ,No internet service,No internet service,No internet service,No,Yes,Yes,No internet service,No internet service,No internet service,2021-12-15 11:52:38.307299064
6168-YBYNP,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,2020-03-14 06:53:03.868219256
7255-SSFBC,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,2020-12-04 09:45:39.108207896
3645-DEYGF,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-06-13 22:44:08.111332008
9323-HGFWY,No,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,2020-02-19 19:50:31.525134904
8544-GOQSH,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,2021-02-06 23:22:22.459528540
3363-DTIVD,Yes,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,2020-08-04 00:28:25.424595284
7018-WBJNK,No,No,No,Fiber optic,No,Yes,No,No,Yes,2020-09-03 07:56:39.602385684
9142-KZXOP,No,No,No,Fiber optic,No,Yes,No,No,No,2020-07-24 22:48:50.303890940
7674-YTAFD,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,2021-01-11 02:06:59.199091168
6348-SNFUS,Yes,Yes,Yes,DSL,No phone service,No,Yes,Yes,No,2021-10-15 20:56:09.951718256
1285-OKIPP,No,No,No,Fiber optic,No,Yes,No,Yes,No,2020-08-22 16:54:52.246520872
7825-ECJRF,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,2020-10-25 08:06:16.256745240
1347-KTTTA,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,2020-09-21 04:27:15.898892360
7841-TZDMQ,No,No,No,DSL,No,Yes,No,No,No,2020-04-29 14:01:15.660323772
4195-NZGTA,No,No,No,DSL,No phone service,No,No,No,No,2020-12-17 19:08:36.330587900
7157-SMCFK,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-05-16 22:04:27.878443624
4709-LKHYG,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-08-31 14:42:46.316387384
2504-DSHIH,No,No,No,Fiber optic,Yes,Yes,No,Yes,No,2020-03-19 13:56:33.467764839
0699-NDKJM,Yes,Yes,Yes,DSL,No phone service,No,No,Yes,Yes,2021-07-09 03:40:26.242544728
9286-BHDQG,Yes,Yes,Yes,DSL,No phone service,No,Yes,No,No,2021-11-26 19:26:11.485373472
0230-WEQUW,Yes,Yes,Yes,DSL,No phone service,No,Yes,No,Yes,2021-03-09 21:47:29.531383128
2040-LDIWQ,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,2021-10-25 07:38:52.178358416
6496-JDSSB,No,No,No,Fiber optic,No,Yes,No,No,Yes,2020-07-22 11:01:18.727634194
9408-SSNVZ,No,No,No,Fiber optic,No,Yes,No,No,No,2021-04-27 01:46:20.005680200
4443-EMBNA,No internet service,No internet service,No internet service,No,Yes,Yes,No internet service,No internet service,No internet service,2020-10-27 19:53:47.833001988
6469-MRVET,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-07-25 08:19:21.488213576
0742-MOABM,No,No,No,DSL,No,Yes,Yes,No,No,2020-09-17 15:44:56.165861972
5961-VUSRV,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-05-17 00:06:32.615734168
6778-JFCMK,No,No,Yes,DSL,No phone service,No,No,Yes,Yes,2020-12-31 19:28:26.447032092
6341-JVQGF,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,2021-11-02 04:59:22.169838112
2232-DMLXU,No,No,No,DSL,No,Yes,No,No,Yes,2021-06-11 07:59:43.641011072
4811-JBUVU,No,No,No,Fiber optic,Yes,Yes,Yes,Yes,No,2021-07-30 22:51:17.534791248
0945-TSONX,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,2020-08-04 22:53:44.765691564
2651-ZCBXV,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,2020-06-02 07:42:20.755467196
3316-UWXUY,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,2020-11-15 02:22:19.392218120
8937-RDTHP,No,No,Yes,Fiber optic,No,Yes,No,Yes,No,2020-08-16 03:57:36.858846916
7083-MIOPC,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-01-24 01:32:01.158761716
1984-GPTEH,No internet service,No internet service,No internet service,No,Yes,Yes,No internet service,No internet service,No internet service,2021-07-18 16:52:37.284862256
1251-KRREG,No,Yes,No,DSL,Yes,Yes,No,No,No,2021-06-04 21:31:57.069014480
0621-JFHOL,No,No,No,DSL,No phone service,No,Yes,No,No,2021-06-14 10:44:08.111332008
9903-LYSAB,No,No,No,Fiber optic,Yes,Yes,No,No,No,2020-06-12 19:19:51.138881000
0094-OIFMO,No,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,2020-09-21 06:56:44.714569724
9227-UAQFT,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-10-17 05:19:24.555524000
