customerID,Contract,tenure,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,datetime
3714-NTNFO,Month-to-month,49,Electronic check,Yes,84.5,3906.7,No,2021-11-10 02:19:52.161317808
5948-UJZLF,Month-to-month,2,Mailed check,No,49.25,97,No,2021-07-02 17:12:39.670548136
7760-OYPDY,Month-to-month,2,Electronic check,Yes,80.65,144.15,Yes,2020-02-01 23:19:55.228628230
7639-LIAYI,Two year,52,Credit card (automatic),Yes,79.75,4217.8,No,2020-07-13 12:46:00.579380858
2954-PIBKO,Two year,69,Credit card (automatic),Yes,64.15,4254.1,No,2020-12-30 18:33:38.290258448
8012-SOUDQ,Month-to-month,43,Electronic check,Yes,90.25,3838.75,No,2021-06-28 01:06:02.965066744
9420-LOJKX,Month-to-month,15,Credit card (automatic),Yes,99.1,1426.4,Yes,2021-09-06 02:45:13.547287704
6575-SUVOI,Month-to-month,25,Credit card (automatic),Yes,69.5,1752.65,No,2021-03-28 19:12:53.984663448
7495-OOKFY,Month-to-month,8,Credit card (automatic),Yes,80.65,633.3,Yes,2020-10-02 16:59:34.439079804
4667-QONEA,One year,60,Credit card (automatic),Yes,74.85,4456.35,No,2020-10-06 13:10:20.619142288
1658-BYGOY,Month-to-month,18,Electronic check,Yes,95.45,1752.55,Yes,2021-07-10 17:02:38.477705192
8769-KKTPH,One year,63,Credit card (automatic),Yes,99.65,6311.2,No,2021-07-30 02:55:27.009372336
5067-XJQFU,One year,66,Electronic check,Yes,108.45,7076.35,No,2021-12-25 13:32:13.428003408
3957-SQXML,Two year,34,Credit card (automatic),No,24.95,894.3,No,2021-01-16 14:09:26.429991480
5954-BDFSG,Two year,72,Credit card (automatic),Yes,107.5,7853.7,No,2020-04-11 07:32:44.101107640
0434-CSFON,Month-to-month,47,Electronic check,Yes,100.5,4707.1,No,2020-11-11 11:10:30.843510364
1215-FIGMP,Month-to-month,60,Bank transfer (automatic),Yes,89.9,5450.7,No,2020-07-15 09:36:39.261573416
0526-SXDJP,Two year,72,Bank transfer (automatic),No,42.1,2962,No,2021-12-21 19:50:56.063618288
0557-ASKVU,One year,18,Credit card (automatic),Yes,54.4,957.1,No,2021-04-17 20:02:35.410394776
5698-BQJOH,Month-to-month,9,Electronic check,No,94.4,857.25,Yes,2020-07-06 03:52:54.666287986
5122-CYFXA,Month-to-month,3,Electronic check,Yes,75.3,244.1,No,2021-09-22 02:25:11.161601816
8627-ZYGSZ,One year,47,Electronic check,Yes,78.9,3650.35,No,2020-07-13 05:17:34.132348764
3410-YOQBQ,Two year,31,Mailed check,No,79.2,2497.2,No,2021-12-25 11:02:44.612326040
3170-NMYVV,Two year,50,Bank transfer (automatic),No,20.15,930.9,No,2020-05-30 04:57:56.285146264
7410-OIEDU,Month-to-month,10,Mailed check,Yes,79.85,887.35,No,2021-07-01 13:48:22.698097128
2273-QCKXA,Month-to-month,1,Mailed check,No,49.05,49.05,No,2020-03-08 03:53:43.743254757
0731-EBJQB,One year,52,Electronic check,Yes,20.4,1090.65,No,2020-05-03 20:09:57.103095712
1891-QRQSA,Two year,64,Bank transfer (automatic),Yes,111.6,7099,No,2020-12-25 04:01:42.243680772
8028-PNXHQ,Two year,62,Bank transfer (automatic),Yes,24.25,1424.6,No,2021-08-04 02:30:30.161885824
5630-AHZIL,Month-to-month,3,Bank transfer (automatic),Yes,64.5,177.4,No,2020-08-24 13:45:30.928713432
2673-CXQEU,One year,56,Electronic check,No,110.5,6139.5,No,2021-02-02 14:44:12.201079236
6416-JNVRK,One year,46,Credit card (automatic),No,55.65,2688.85,No,2020-07-14 11:11:19.920477136
5590-ZSKRV,Month-to-month,8,Mailed check,No,54.65,482.25,No,2020-10-17 00:47:51.002556092
0191-ZHSKZ,Month-to-month,30,Electronic check,Yes,74.75,2111.3,No,2021-02-27 07:40:30.332291960
3887-PBQAO,One year,45,Credit card (automatic),Yes,25.9,1216.6,No,2020-11-25 18:58:47.406986652
5919-TMRGD,Month-to-month,1,Electronic check,Yes,79.35,79.35,Yes,2021-05-21 11:14:11.689860832
8108-UXRQN,Month-to-month,11,Electronic check,No,50.55,565.35,No,2020-02-03 22:40:02.726498154
9191-MYQKX,Month-to-month,7,Bank transfer (automatic),Yes,75.15,496.9,Yes,2021-09-10 16:22:21.437091736
9919-YLNNG,Month-to-month,42,Bank transfer (automatic),Yes,103.8,4327.5,No,2020-04-04 03:38:35.819369497
0318-ZOPWS,Two year,49,Bank transfer (automatic),Yes,20.15,973.35,No,2020-12-16 13:14:50.542459528
4445-ZJNMU,Month-to-month,9,Credit card (automatic),Yes,99.3,918.75,No,2021-05-02 13:48:47.236580512
4808-YNLEU,One year,35,Bank transfer (automatic),Yes,62.15,2215.45,No,2020-06-17 13:55:56.660039760
1862-QRWPE,Two year,48,Bank transfer (automatic),No,20.65,1057,No,2020-03-30 21:29:54.376597557
2796-NNUFI,Two year,46,Mailed check,Yes,19.95,927.1,No,2021-05-30 11:58:58.653791536
3016-KSVCP,Month-to-month,29,Mailed check,No,33.75,1009.25,No,2020-03-20 17:20:50.440215848
4767-HZZHQ,Month-to-month,30,Bank transfer (automatic),No,82.05,2570.2,No,2021-10-04 00:55:24.964498720
2424-WVHPL,Month-to-month,1,Electronic check,No,74.7,74.7,No,2020-02-18 13:56:45.737006532
7233-PAHHL,Two year,66,Mailed check,Yes,84.0,5714.25,No,2021-07-03 10:39:01.380289688
6067-NGCEU,Month-to-month,65,Credit card (automatic),Yes,111.05,7107,No,2021-04-29 06:05:25.134904856
9848-JQJTX,Two year,72,Bank transfer (automatic),Yes,100.9,7459.05,No,2020-03-06 07:03:05.061062198
8637-XJIVR,Month-to-month,12,Electronic check,Yes,78.95,927.35,Yes,2021-07-08 05:15:06.901448448
9803-FTJCG,One year,71,Credit card (automatic),Yes,66.85,4748.7,No,2021-08-14 11:38:31.729622264
0278-YXOOG,Month-to-month,5,Mailed check,No,21.05,113.85,Yes,2021-09-26 11:03:21.420051120
3212-KXOCR,Two year,52,Bank transfer (automatic),No,21.0,1107.2,No,2021-02-17 08:30:24.027264980
4598-XLKNJ,Month-to-month,25,Electronic check,Yes,98.5,2514.5,Yes,2021-09-11 02:20:16.699801192
6380-ARCEH,Month-to-month,1,Mailed check,No,20.2,20.2,No,2021-06-10 19:32:19.562624256
3679-XASPY,Month-to-month,1,Electronic check,No,19.45,19.45,No,2020-02-12 05:58:27.980687304
7123-WQUHX,One year,38,Bank transfer (automatic),No,95.0,3605.6,No,2020-09-27 04:57:07.208179492
5386-THSLQ,One year,66,Bank transfer (automatic),No,45.55,3027.25,No,2020-05-19 07:22:30.639023004
3192-NQECA,Two year,68,Bank transfer (automatic),Yes,110.0,7611.85,Yes,2021-05-31 22:51:42.073274640
6180-YBIQI,Month-to-month,5,Mailed check,No,24.3,100.2,No,2021-03-05 10:39:50.457256456
6728-DKUCO,One year,72,Electronic check,Yes,104.15,7303.05,No,2020-04-27 09:42:10.531099120
9750-BOOHV,One year,32,Mailed check,No,30.15,927.65,No,2020-09-25 05:36:59.710309572
8597-CWYHH,One year,43,Mailed check,No,94.35,3921.3,No,2021-08-06 06:49:35.291110480
2848-YXSMW,Two year,72,Credit card (automatic),No,19.4,1363.25,No,2021-11-22 03:19:34.779892072
0486-HECZI,Month-to-month,55,Electronic check,Yes,96.75,5238.9,Yes,2020-05-04 18:35:16.444191990
4549-ZDQYY,One year,52,Credit card (automatic),No,57.95,3042.25,No,2020-05-01 15:50:51.973871058
5712-AHQNN,Month-to-month,43,Electronic check,Yes,91.65,3954.1,No,2020-11-25 06:31:23.328599828
4846-WHAFZ,Month-to-month,37,Electronic check,Yes,76.5,2868.15,Yes,2021-07-17 18:27:17.943765976
5256-SKJGO,Two year,64,Electronic check,Yes,54.6,3423.5,No,2021-03-12 17:03:27.554671968
3071-VBYPO,Month-to-month,3,Electronic check,No,89.85,248.4,No,2020-03-24 06:03:10.173246237
9560-BBZXK,Two year,36,Bank transfer (automatic),No,31.05,1126.35,No,2020-12-07 19:58:30.025560920
5299-RULOA,Month-to-month,10,Electronic check,Yes,100.25,1064.65,Yes,2020-10-06 23:08:15.881851744
8402-OOOHJ,Two year,41,Mailed check,No,20.65,835.15,No,2020-12-18 00:07:33.961942628
9445-ZUEQE,Month-to-month,27,Credit card (automatic),Yes,85.2,2151.6,No,2020-09-02 07:01:51.445612040
1091-SOZGA,One year,56,Credit card (automatic),Yes,99.8,5515.45,No,2021-07-12 08:54:19.528543024
2928-HLDBA,Month-to-month,6,Mailed check,No,20.7,112.75,No,2020-07-01 01:48:22.698097130
0404-SWRVG,Month-to-month,3,Electronic check,Yes,74.4,229.55,Yes,2021-02-02 19:43:09.832433968
6497-TILVL,Month-to-month,7,Mailed check,No,50.7,350.35,No,2020-08-26 13:05:38.426583356
7219-TLZHO,Month-to-month,4,Mailed check,No,20.85,62.9,No,2020-01-17 07:08:24.061346208
4622-YNKIJ,Two year,33,Electronic check,Yes,88.95,3027.65,No,2021-12-28 01:19:45.004260152
4412-YLTKF,Month-to-month,27,Electronic check,Yes,78.05,2135.5,Yes,2021-05-23 08:04:50.372053392
6734-PSBAW,Two year,72,Bank transfer (automatic),Yes,23.55,1723.95,No,2021-11-14 18:26:28.866799200
3930-ZGWVE,Month-to-month,1,Mailed check,No,19.75,19.75,No,2021-01-12 05:31:16.171542176
2639-UGMAZ,One year,71,Electronic check,Yes,56.45,3985.35,No,2020-11-29 10:10:35.955694404
2876-GZYZC,Month-to-month,13,Electronic check,Yes,85.95,1215.65,No,2020-11-09 09:20:54.529963076
6207-WIOLX,Month-to-month,25,Credit card (automatic),Yes,58.6,1502.65,Yes,2020-08-19 06:42:01.329167848
8587-XYZSF,Two year,67,Bank transfer (automatic),No,50.55,3260.1,No,2021-02-15 11:39:45.345072420
3091-FYHKI,Month-to-month,1,Electronic check,Yes,35.45,35.45,Yes,2021-02-09 01:11:58.773075828
2372-HWUHI,Month-to-month,2,Electronic check,No,44.35,81.25,Yes,2020-05-28 10:36:46.418631070
7799-LGRDP,Two year,43,Credit card (automatic),Yes,25.7,1188.2,No,2020-09-22 20:18:56.949730188
7850-VWJUU,Month-to-month,23,Bank transfer (automatic),Yes,75.0,1778.5,No,2020-05-24 04:28:04.975859130
3774-VBNXY,Two year,64,Mailed check,No,20.2,1277.75,No,2020-02-18 23:54:40.999715989
6217-KDYWC,Two year,57,Mailed check,Yes,19.6,1170.55,No,2021-03-14 23:52:01.499573984
0390-DCFDQ,Month-to-month,1,Mailed check,Yes,70.45,70.45,Yes,2020-02-04 01:09:31.542175518
3146-MSEGF,Two year,72,Credit card (automatic),Yes,88.05,6425.65,No,2021-03-06 21:32:33.876739560
4080-OGPJL,Month-to-month,8,Electronic check,No,71.15,563.65,Yes,2020-02-19 02:24:09.815393354
1095-WGNGG,Two year,61,Bank transfer (automatic),Yes,101.05,5971.25,No,2021-06-11 00:31:17.193978984
2636-SJDOU,One year,64,Credit card (automatic),Yes,84.3,5289.05,No,2021-11-06 18:36:30.059642144
1131-QQZEB,Two year,71,Bank transfer (automatic),No,23.95,1756.2,No,2020-05-08 04:48:07.361545016
5716-EZXZN,Two year,65,Credit card (automatic),Yes,99.05,6416.7,No,2021-10-04 15:52:17.858562904
6837-BJYDQ,One year,3,Mailed check,No,19.6,61.35,No,2020-12-16 20:43:16.989491620
2135-RXIHG,Month-to-month,1,Electronic check,Yes,45.65,45.65,Yes,2020-08-07 03:12:49.894916216
6440-DKQGE,One year,30,Credit card (automatic),No,64.5,1929.95,No,2020-05-06 17:55:23.942061914
3466-BYAVD,Month-to-month,15,Mailed check,Yes,69.5,1071.4,No,2021-06-26 21:41:45.992615736
3780-YVMFA,Month-to-month,8,Electronic check,Yes,68.55,564.35,No,2020-11-21 12:50:05.964214712
3874-EQOEP,Month-to-month,7,Mailed check,No,95.0,655.5,Yes,2020-12-02 15:24:29.241692700
1679-JRFBR,One year,70,Credit card (automatic),Yes,108.15,7930.55,No,2020-10-19 20:03:49.025844928
9073-ZZIAY,Two year,62,Electronic check,No,86.1,5215.25,No,2020-05-08 19:45:00.255609202
3077-RSNTJ,Month-to-month,6,Mailed check,No,19.7,113.5,No,2021-08-21 03:05:15.932973584
6551-GNYDG,Month-to-month,14,Bank transfer (automatic),Yes,80.9,1152.8,No,2020-03-27 13:46:32.274921897
9167-APMXZ,Month-to-month,22,Bank transfer (automatic),Yes,84.15,1821.95,No,2020-10-12 08:41:14.297074692
2749-CTKAJ,One year,22,Mailed check,No,20.15,419.9,No,2021-03-14 13:54:06.236864528
6371-NZYEG,Two year,16,Mailed check,No,64.25,1024,No,2020-12-07 05:01:37.131496732
7554-NEWDD,Two year,10,Bank transfer (automatic),No,25.7,251.6,No,2021-08-09 22:01:23.839818232
8992-VONJD,Month-to-month,13,Electronic check,Yes,56.0,764.55,No,2021-01-14 19:48:16.563476284
0867-MKZVY,Month-to-month,20,Electronic check,No,82.4,1592.35,Yes,2020-10-18 21:38:29.684748648
4482-EWFMI,Month-to-month,2,Electronic check,Yes,69.7,135.2,No,2021-03-14 21:22:32.683896616
4648-YPBTM,Two year,53,Bank transfer (automatic),Yes,73.9,3958.25,No,2021-06-09 11:09:04.958818512
2907-ILJBN,One year,11,Mailed check,No,20.6,233.9,No,2020-12-24 23:02:44.612326044
6345-FZOQH,Two year,69,Mailed check,No,19.9,1363.45,No,2021-02-02 12:14:43.385401872
3376-BMGFE,Month-to-month,4,Bank transfer (automatic),Yes,70.9,273,Yes,2021-11-25 18:31:23.328599824
5997-OPVFA,Two year,72,Bank transfer (automatic),Yes,89.05,6254.45,No,2021-05-28 05:10:24.708889520
3445-HXXGF,Month-to-month,58,Electronic check,Yes,45.3,2651.2,Yes,2021-07-03 05:40:03.748934960
1159-WFSGR,Month-to-month,16,Electronic check,No,20.4,321.4,No,2020-10-11 07:46:26.140301048
7654-YWJUF,One year,43,Bank transfer (automatic),Yes,84.25,3539.25,No,2020-01-02 18:21:09.866515194
1875-QIVME,Month-to-month,2,Electronic check,Yes,104.4,242.8,Yes,2021-07-15 09:09:15.183186592
6727-IOTLZ,Two year,14,Mailed check,No,81.95,1181.75,No,2020-11-21 00:22:41.885827888
0691-JVSYA,One year,53,Bank transfer (automatic),Yes,94.85,5000.2,Yes,2021-06-17 20:56:59.028685032
5918-VUKWP,One year,32,Bank transfer (automatic),No,20.55,654.55,No,2020-02-18 21:25:12.184038625
1744-JHKYS,Month-to-month,34,Electronic check,No,24.7,780.2,No,2021-04-02 06:20:33.058790112
2656-FMOKZ,Month-to-month,15,Mailed check,Yes,74.45,1145.7,Yes,2021-10-21 18:56:32.445328032
2070-FNEXE,Month-to-month,7,Bank transfer (automatic),No,76.45,503.6,Yes,2020-03-20 04:53:26.361829026
5947-SGKCL,Month-to-month,15,Bank transfer (automatic),Yes,105.35,1559.25,No,2020-02-15 01:14:26.003976143
3712-PKXZA,One year,61,Credit card (automatic),Yes,20.55,1252,No,2021-01-29 08:35:30.758307296
6317-YPKDH,Month-to-month,1,Bank transfer (automatic),No,29.95,29.95,Yes,2021-07-23 08:59:13.990343648
6582-OIVSP,Month-to-month,1,Mailed check,No,45.3,45.3,No,2021-08-08 13:38:09.236012496
9367-WXLCH,Month-to-month,8,Bank transfer (automatic),No,84.5,662.65,Yes,2021-11-15 16:51:48.207895480
5524-KHNJP,One year,33,Credit card (automatic),No,74.75,2453.3,No,2021-07-04 21:31:44.799772792
1918-ZBFQJ,Month-to-month,13,Electronic check,Yes,79.25,1111.65,Yes,2021-11-01 16:31:58.091451288
1024-GUALD,Month-to-month,1,Electronic check,Yes,24.8,24.8,Yes,2020-06-25 13:45:55.467196818
4827-USJHP,Month-to-month,20,Mailed check,Yes,51.8,1023.85,No,2021-06-02 09:44:25.492757736
8167-GJLRN,Month-to-month,3,Electronic check,No,30.4,82.15,No,2020-10-07 14:05:08.775915932
0956-SYCWG,One year,13,Electronic check,No,19.65,244.8,No,2021-02-26 11:44:39.806873048
8017-UVSZU,Month-to-month,40,Credit card (automatic),No,56.6,2379.1,No,2021-03-14 06:25:39.789832432
7100-FQPRV,One year,43,Credit card (automatic),Yes,71.9,3173.35,No,2021-02-13 14:49:06.662879864
2472-OVKUP,Month-to-month,6,Electronic check,Yes,91.0,531,Yes,2020-09-05 04:47:18.284578244
2984-RGEYA,Two year,69,Bank transfer (automatic),No,19.75,1375.4,No,2021-01-15 08:15:40.641863104
9680-NIAUV,Two year,72,Credit card (automatic),No,109.7,8129.3,No,2021-06-02 04:45:27.861403008
2146-EGVDT,Two year,59,Credit card (automatic),No,19.3,1192.7,No,2020-07-31 16:45:03.322919624
2604-IJPDU,Month-to-month,20,Electronic check,Yes,96.55,1901.65,No,2020-05-06 07:57:28.679352456
9178-JHUVJ,Two year,24,Bank transfer (automatic),Yes,24.1,587.4,No,2021-12-15 11:52:38.307299064
6168-YBYNP,Month-to-month,59,Electronic check,Yes,111.35,6519.75,No,2020-03-14 06:53:03.868219256
7255-SSFBC,Two year,72,Bank transfer (automatic),Yes,112.25,8041.65,No,2020-12-04 09:45:39.108207896
3645-DEYGF,Month-to-month,1,Mailed check,No,20.75,20.75,No,2020-06-13 22:44:08.111332008
9323-HGFWY,One year,27,Credit card (automatic),Yes,101.9,2681.15,No,2020-02-19 19:50:31.525134904
8544-GOQSH,Month-to-month,14,Credit card (automatic),Yes,80.05,1112.3,No,2021-02-06 23:22:22.459528540
3363-DTIVD,Two year,71,Electronic check,No,105.55,7405.5,No,2020-08-04 00:28:25.424595284
7018-WBJNK,Month-to-month,13,Credit card (automatic),Yes,78.3,1033.95,No,2020-09-03 07:56:39.602385684
9142-KZXOP,Month-to-month,44,Credit card (automatic),No,68.85,2958.95,No,2020-07-24 22:48:50.303890940
7674-YTAFD,One year,33,Bank transfer (automatic),Yes,79.95,2684.85,No,2021-01-11 02:06:59.199091168
6348-SNFUS,Two year,72,Credit card (automatic),Yes,55.45,4179.2,No,2021-10-15 20:56:09.951718256
1285-OKIPP,Month-to-month,1,Electronic check,No,79.9,79.9,Yes,2020-08-22 16:54:52.246520872
7825-ECJRF,Month-to-month,19,Electronic check,Yes,106.6,1934.45,Yes,2020-10-25 08:06:16.256745240
1347-KTTTA,One year,64,Credit card (automatic),Yes,102.45,6654.1,No,2020-09-21 04:27:15.898892360
7841-TZDMQ,Month-to-month,2,Credit card (automatic),Yes,46.0,84.5,Yes,2020-04-29 14:01:15.660323772
4195-NZGTA,Month-to-month,1,Electronic check,No,25.25,25.25,No,2020-12-17 19:08:36.330587900
7157-SMCFK,Two year,61,Mailed check,No,19.75,1124.2,No,2020-05-16 22:04:27.878443624
4709-LKHYG,One year,29,Electronic check,No,20.0,540.05,No,2021-08-31 14:42:46.316387384
2504-DSHIH,Month-to-month,23,Electronic check,No,86.8,1975.85,No,2020-03-19 13:56:33.467764839
0699-NDKJM,Month-to-month,57,Bank transfer (automatic),Yes,58.75,3437.45,No,2021-07-09 03:40:26.242544728
9286-BHDQG,Two year,72,Credit card (automatic),No,45.25,3139.8,No,2021-11-26 19:26:11.485373472
0230-WEQUW,Two year,66,Bank transfer (automatic),Yes,56.6,3789.2,No,2021-03-09 21:47:29.531383128
2040-LDIWQ,Two year,65,Bank transfer (automatic),Yes,84.2,5324.5,No,2021-10-25 07:38:52.178358416
6496-JDSSB,Month-to-month,8,Bank transfer (automatic),Yes,80.0,624.6,No,2020-07-22 11:01:18.727634194
9408-SSNVZ,Month-to-month,4,Electronic check,Yes,70.15,268.35,Yes,2021-04-27 01:46:20.005680200
4443-EMBNA,Two year,71,Bank transfer (automatic),No,24.75,1836.9,No,2020-10-27 19:53:47.833001988
6469-MRVET,One year,1,Electronic check,Yes,20.2,20.2,No,2021-07-25 08:19:21.488213576
0742-MOABM,Month-to-month,4,Mailed check,No,50.05,179.35,Yes,2020-09-17 15:44:56.165861972
5961-VUSRV,One year,12,Bank transfer (automatic),Yes,19.35,219.35,No,2021-05-17 00:06:32.615734168
6778-JFCMK,One year,24,Mailed check,Yes,50.6,1288.75,No,2020-12-31 19:28:26.447032092
6341-JVQGF,One year,31,Mailed check,Yes,81.15,2545.75,No,2021-11-02 04:59:22.169838112
2232-DMLXU,Month-to-month,1,Mailed check,No,55.2,55.2,Yes,2021-06-11 07:59:43.641011072
4811-JBUVU,Month-to-month,30,Credit card (automatic),Yes,89.9,2723.15,No,2021-07-30 22:51:17.534791248
0945-TSONX,Two year,47,Credit card (automatic),Yes,85.3,4107.25,No,2020-08-04 22:53:44.765691564
2651-ZCBXV,Two year,54,Credit card (automatic),Yes,108.0,5760.65,No,2020-06-02 07:42:20.755467196
3316-UWXUY,Month-to-month,50,Credit card (automatic),Yes,93.5,4747.5,No,2020-11-15 02:22:19.392218120
8937-RDTHP,Month-to-month,1,Mailed check,Yes,84.6,84.6,Yes,2020-08-16 03:57:36.858846916
7083-MIOPC,Two year,72,Credit card (automatic),No,20.25,1566.9,No,2021-01-24 01:32:01.158761716
1984-GPTEH,Month-to-month,29,Electronic check,No,25.15,702,No,2021-07-18 16:52:37.284862256
1251-KRREG,Month-to-month,2,Mailed check,Yes,54.4,114.1,Yes,2021-06-04 21:31:57.069014480
0621-JFHOL,Two year,10,Mailed check,Yes,29.6,299.05,No,2021-06-14 10:44:08.111332008
9903-LYSAB,Month-to-month,18,Electronic check,Yes,73.15,1305.95,No,2020-06-12 19:19:51.138881000
0094-OIFMO,Month-to-month,11,Electronic check,Yes,95.0,1120.3,Yes,2020-09-21 06:56:44.714569724
9227-UAQFT,Two year,16,Mailed check,No,19.75,284.35,No,2021-10-17 05:19:24.555524000
7301-ABVAD,Two year,72,Bank transfer (automatic),No,86.6,6350.5,No,2020-09-16 19:49:05.640443056
6614-FHDBO,Two year,72,Bank transfer (automatic),No,109.2,7878.3,No,2021-07-07 06:49:47.560352168
7576-ASEJU,One year,41,Credit card (automatic),Yes,74.7,3187.65,No,2021-04-05 04:05:59.897756320
9058-HRZSV,Month-to-month,65,Electronic check,No,94.4,6126.15,No,2021-09-08 17:02:13.939221808
4522-AKYLR,Month-to-month,13,Electronic check,Yes,54.8,731.3,No,2020-07-22 06:02:21.096279466
0221-WMXNQ,Month-to-month,4,Electronic check,No,75.35,273.4,No,2021-11-26 09:28:16.222664016
0303-UNCIP,One year,41,Mailed check,No,65.0,2531.8,No,2020-05-29 21:29:29.838114172
9947-OTFQU,Month-to-month,15,Electronic check,Yes,74.4,1074.3,Yes,2021-09-12 15:42:28.934961656
0322-YINQP,Month-to-month,1,Mailed check,Yes,48.55,48.55,Yes,2021-08-09 09:33:59.761431408
0959-WHOKV,One year,42,Electronic check,Yes,99.0,4298.45,No,2021-02-03 00:42:07.463788696
